Date,High,Low,Open,Close,Volume,Adj Close,close_sma_ratio,upper_bb,lower_bb,percent_b,norm_adj_close,norm_close_sma_ratio,norm_close_sma_ratio_state,percent_b_state,cash,cash_state,shares,shares_state,state
2017-06-09,87.05000305175781,85.38999938964844,85.51000213623047,86.95999908447266,19120200.0,78.6546630859375,1.03138,79.3585,73.16425,88.63725367780596,1.0206938175170746,1.0341826349406893,8,3,73958.58306884766,3,340,9,8339
2017-06-12,87.73999786376953,86.88999938964844,86.95999908447266,86.9800033569336,16053400.0,78.67276763916016,1.02147,80.28037,73.75831,75.35130984934445,1.020928758521438,1.0242457058628884,7,3,72385.4898071289,3,360,9,7339
2017-06-13,87.8499984741211,86.9800033569336,87.55000305175781,87.2699966430664,12557200.0,78.93506622314453,1.0146,80.50715,75.09088,70.97478935031921,1.0243325814165132,1.0173570375718195,6,2,70812.0344543457,3,380,9,6239
2017-06-14,87.30999755859375,85.81999969482422,86.7699966430664,87.08999633789062,16175700.0,78.77224731445312,1.00508,80.10775,76.64079,61.47914352784945,1.0222196964716672,1.007811168266001,5,2,72390.7357788086,3,360,9,5239
2017-06-15,87.08000183105469,86.23999786376953,86.25,86.56999969482422,12509700.0,78.30188751220703,0.99535,79.13255,78.20211,10.723691179122525,1.0161158836355917,0.9980547283137302,2,1,73966.18072509766,3,340,9,2139
2017-06-16,86.95999908447266,86.0199966430664,86.8499984741211,86.18000030517578,16936600.0,77.94915771484375,0.99265,79.32152,77.73093,13.719922471771383,1.0115385437895181,0.9953473914307774,2,1,75532.2184753418,3,320,9,2139
2017-06-19,88.2300033569336,86.8499984741211,86.97000122070312,88.06999969482422,15972300.0,79.65865325927734,1.01188,80.02686,77.41994,85.87579439635067,1.0337224991307281,1.0146296463415856,6,3,77091.20162963867,3,300,9,6339
2017-06-20,87.91999816894531,87.37000274658203,87.75,87.5199966430664,11197800.0,79.16117858886719,1.00498,80.12348,77.41377,64.48692254400608,1.027266819320566,1.0077108965295951,4,2,78684.37469482422,3,280,9,4239
2017-06-21,87.55000305175781,86.76000213623047,87.4800033569336,87.12000274658203,10005900.0,78.79939270019531,1.00032,80.1292,77.41891,50.934870445425226,1.02257195946936,1.0030382336130916,3,2,78684.37469482422,3,280,9,3239
2017-06-22,87.36000061035156,86.6500015258789,86.93000030517578,87.0199966430664,12180600.0,78.70893859863281,0.99814,80.11426,77.59666,44.18011592917111,1.021398145500657,1.0008523097594482,3,2,78684.37469482422,3,280,9,3239
2017-06-23,88.0,86.61000061035156,87.66000366210938,86.86000061035156,18812000.0,78.56421661376953,0.99475,79.85731,78.09964,26.431390065799402,1.019520102554273,0.9974530978952962,2,2,78684.37469482422,3,280,9,2239
2017-06-26,87.66999816894531,86.62000274658203,87.01000213623047,87.23999786376953,10082400.0,78.90790557861328,1.00101,79.27773,78.37892,58.8539934594943,1.0239801204070171,1.0037301085942905,4,2,78684.37469482422,3,280,9,4239
